category,category_desc,category_image,item_name,description,veg/non-veg,price,old_price,total_stock,offer_text,item_image,item_image_compressed,sub_category,customization_type,customization_item_limit,customization_item_lower_limit,customization_subtype,customization_price,customize_option_limit,checkbox_flag,external_item_id
Promo 🎉,,,Pizza Poulet L + Boisson ,,,300,470,100,Remise 35% + Livraison Gratuite ‼️,,,,,,,,,,,
Pizza Céme Fraiche,,,Boisée Poulet L,,,500,500,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée Poulet XL,,,1000,1000,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée Poulet XXL,,,1350,1350,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée Fumé L,,,600,600,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée Fumé XL,,,1200,1200,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée Fumé XXL,,,1700,1700,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée 4 Fromage L,,,600,600,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée 4 Fromage XL,,,1150,1150,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée 4 Fromage XXL,,,1500,1500,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée 5 Fromage L,,,700,700,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée 5 Fromage XL,,,1300,1300,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée 5 Fromage XXL,,,1700,1700,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée Viande Hachée L,,,550,550,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée Viande Hachée XL,,,1100,1100,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée Viande Hachée XXL,,,1400,1400,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée Merguez L,,,550,550,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée Merguez XL,,,1100,1100,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée Merguez XXL,,,1400,1400,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée Crevette L,,,800,800,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée Crevette XL,,,1450,1450,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée Crevette XXL,,,2100,2100,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée 3 Viande L,,,600,600,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée 3 Viande XL,,,1200,1200,100,,,,,,null,null,,,null,,null
Pizza Céme Fraiche,,,Boisée 3 Viande XXL,,,1600,1600,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Margharita L,,,300,300,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Margharita XL,,,600,600,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Margharita XXL,,,900,900,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Poulet L,,,400,400,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Poulet XL,,,800,800,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Poulet XXL,,,1200,1200,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Fumée L,,,550,550,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Fumée XL,,,1100,1100,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Fumée XXL,,,1600,1600,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Végétarienne L,,,400,400,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Végétarienne XL,,,800,800,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Végétarienne XXL,,,1200,1200,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza 3 Fromage L,,,500,500,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza 3 Fromage XL,,,1000,1000,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza 3 Fromage XXL,,,1350,1350,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Viande Hachée L,,,500,500,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Viande Hachée XL,,,1000,1000,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Viande Hachée XXL,,,1300,1300,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Merguez L,,,500,500,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Merguez XL,,,1000,1000,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Merguez XXL,,,1300,1300,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Crevette L,,,800,800,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Crevette XL,,,1400,1400,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Crevette XXL,,,2000,2000,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza 3 Viandes L,,,550,550,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza 3 Viandes XL,,,1100,1100,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza 3 Viandes XXL,,,1500,1500,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Thon L,,,550,550,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Thon XL,,,1100,1100,100,,,,,,null,null,,,null,,null
Base Sauce Tomate,,,Pizza Thon XXL,,,1500,1500,100,,,,,,null,null,,,null,,null
